_id,telkinio_pav,m_vietos_pav,data,vandens_temp,suspend_medziagos,sarmingumas,deguon_istirpes,ph,elektr_laidis
bd25bf02-034f-4b77-91f7-a569bf5ee319,NERIS,Neris aukščiau Panerių,2020-06-01,15.6,11.0,3.4,11.67,8.78,413.0
0030c589-3a58-47ea-a8b6-ca2b8c898312,NERIS,Neris aukščiau Kauno,2020-06-02,18.2,13.0,3.7,12.1,8.3,429.0
572c71f8-a225-416c-92d9-90c49cc19e6a,NERIS,Neris žemiau santakos su Žiežmara,2020-07-08,20.3,6.8,3.8,8.9,8.3,434.0
a4059b3e-9a6f-4af3-84f0-98ad291433e2,NERIS,Neris aukščiau Panerių,2020-07-13,17.8,4.0,5.0,8.13,8.27,372.0
4df74777-c433-482c-b872-8d5146fcefbf,NERIS,Neris ties Buivydžiais,2020-07-13,18.5,3.3,3.9,10.04,8.27,385.0
f6e2f8c2-e198-4b56-a919-a90191d0ad16,NERIS,Neris aukščiau Kauno,2020-07-14,19.4,3.3,4.0,11.6,8.5,463.0
a796a4ad-10a6-4071-a5e9-e7ef1dd004d0,NERIS,Neris aukščiau Panerių,2020-08-03,19.6,2.0,3.7,7.03,8.28,417.0
27972342-a804-42db-a234-699fc6bf0d27,NERIS,Neris ties Buivydžiais,2020-08-03,18.9,2.1,3.3,7.18,8.21,413.0
ce83bf49-4695-4643-adff-6fd44413a057,NERIS,Neris aukščiau Kauno,2020-08-04,21.1,2.1,4.0,12.5,8.6,462.0
e1f5bd13-dc84-4037-ad5d-12ce4aa3f170,NERIS,Neris ties Buivydžiais,2020-09-07,17.0,2.1,3.7,9.2,8.3,410.0
0d7e2ec5-7ea4-40d8-aef0-bae29d0e85e7,NERIS,Neris aukščiau Panerių,2020-09-07,17.5,4.4,3.1,9.6,8.41,427.0
066e1995-f430-4222-8289-c5c85e879a85,NERIS,Neris aukščiau Kauno,2020-09-08,16.3,4.4,4.1,11.5,8.7,461.0
f9d5b8a8-4425-4494-afb5-a4182512e2ed,NERIS,Neris žemiau santakos su Žiežmara,2020-09-30,14.3,5.9,4.2,12.5,8.6,449.0
5e916058-916a-4d4a-8f6f-3c934c12e4b2,NERIS,Neris aukščiau Panerių,2020-10-05,14.1,5.3,3.9,9.37,8.3,436.0
ad9f5df5-788a-49a2-be80-accf7fac4bab,NERIS,Neris ties Buivydžiais,2020-10-05,13.7,6.7,3.4,7.95,8.21,425.0
d83e65f7-e289-4541-9979-f35865c05529,NERIS,Neris aukščiau Kauno,2020-10-06,15.1,4.2,4.6,11.2,8.5,498.0
43570b42-ca0b-4e69-a0ae-bf61f43fccbf,NERIS,Neris aukščiau Panerių,2020-11-09,8.0,2.5,3.5,12.09,8.42,393.0
35f55c02-9d74-4196-a084-631261d1484c,NERIS,Neris ties Buivydžiais,2020-11-09,7.9,2.5,3.6,11.05,8.52,424.0
1a36a94f-b158-409e-8192-310a62d315c7,NERIS,Neris aukščiau Kauno,2020-11-10,7.7,3.7,4.3,12.7,8.4,500.0
43ff382a-85bb-4acd-8309-ed94a544473f,NERIS,Neris aukščiau Panerių,2020-12-07,1.1,3.7,3.6,13.64,7.94,426.0
8d42185a-1119-437b-b573-d1380e43a245,NERIS,Neris ties Buivydžiais,2020-12-07,0.8,3.3,4.0,13.69,8.12,428.0
fd149125-e884-417b-aa54-6d58427d8a23,NERIS,Neris aukščiau Kauno,2020-12-08,1.4,4.8,4.6,13.1,8.5,570.0
254a87dc-177a-4c30-9e9a-8eaf2e64962a,NERIS,Neris aukščiau Panerių,2021-01-04,1.6,3.8,3.6,13.76,8.24,437.0
f08b5650-53d4-4c39-94ff-bcd583f1b3f9,NERIS,Neris ties Buivydžiais,2021-01-04,1.3,2.6,3.9,13.61,8.12,438.0
441079b7-e1e3-4df0-8403-a7b73fb286ec,NERIS,Neris aukščiau Kauno,2021-01-05,1.9,5.5,4.4,14.4,8.4,533.0
790c716a-b60d-4c7f-bfdf-db21a020e827,NERIS,Neris žemiau Tuščiaulių,2021-02-01,0.1,4.1,3.4,10.63,7.86,415.0
5e8fd27f-1868-44cc-a483-e805ae00c88e,NERIS,Neris ties Buivydžiais,2021-02-01,0.1,2.6,3.6,11.83,7.65,464.0
5cad24e7-00a4-48f5-9083-76fda0d7a884,NERIS,Neris aukščiau Panerių,2021-02-01,0.1,12.0,3.4,11.15,8.05,480.0
10880054-011e-4851-a835-824aae960006,NERIS,Neris aukščiau Kauno,2021-02-02,0.2,3.1,4.4,12.6,8.4,538.0
e1039df0-c724-4de1-8c2b-cd4540f15e4e,NERIS,Neris aukščiau Panerių,2021-03-01,0.2,26.0,3.3,11.67,7.89,462.0
c4fe43b8-d670-4025-9b85-0e4672bca964,NERIS,Neris ties Buivydžiais,2021-03-01,0.2,8.3,3.7,11.08,7.79,461.0
340cb13d-b8c3-49e1-b21a-ad33ee6fe19c,NERIS,Neris aukščiau Kauno,2021-03-02,0.7,30.0,3.7,13.4,8.0,500.0
79b48772-149a-4bad-9d52-f7ab429e83df,NERIS,Neris ties Buivydžiais,2021-04-12,7.7,4.5,3.4,10.96,8.17,430.0
673477cc-130c-4a37-a631-7a95e7aa9923,NERIS,Neris aukščiau Panerių,2021-04-12,7.9,6.1,3.3,11.14,8.21,435.0
7ad2453b-bd9b-4fb7-acb2-d8db850f1366,NERIS,Neris aukščiau Kauno,2021-04-13,8.4,5.4,4.3,13.3,8.6,494.0
4952f165-4651-46b3-b8fa-a73043e129b3,NERIS,Neris aukščiau Panerių,2021-04-22,8.4,5.4,4.3,13.3,8.6,494.0
db084673-5b89-43a7-a8bf-260ae14f3cbf,NERIS,Neris aukščiau Panerių,2021-05-03,10.4,26.0,3.2,9.97,8.12,407.0
53f25d01-e610-4c45-b166-97955127d32c,NERIS,Neris ties Buivydžiais,2021-05-03,9.7,4.3,3.5,10.14,8.22,395.0
89c8b008-0f65-4f7a-8726-bdddafcdc403,NERIS,Neris žemiau Tuščiaulių,2021-05-03,9.8,4.7,3.3,10.28,8.23,386.0
715a286a-585a-4e4c-aa0e-a550602246e9,NERIS,Neris aukščiau Kauno,2021-05-04,9.2,20.0,4.4,12.3,8.5,485.0
9601fa7f-ad45-4a5c-85b5-7acf9f53295c,NERIS,Neris ties Buivydžiais,2021-06-07,18.5,12.0,3.2,9.85,8.2,423.0
52492df0-af1e-4b1a-bff8-0a7c052e77e9,NERIS,Neris aukščiau Panerių,2021-06-07,19.4,10.0,3.5,9.89,8.36,420.0
b71c1282-b494-400a-bc4e-92b236bfb3f0,NERIS,Neris aukščiau Kauno,2021-06-08,20.2,31.0,4.5,9.3,8.3,598.0
2e2dd437-c033-41bd-9c4e-45e2ba8b213f,NERIS,Neris ties Buivydžiais,2021-07-12,25.399999999999995,13.0,3.3,9.47,8.51,400.0
